Appliances,BathroomsFull,BathroomsHalf,Bedrooms,DateListed,Description,MlsId,MlsName,Price,Rooms,StreetAddress
[],,,6,2016-07-04 00:00:00,Incredible opportunity! Absolute Best VALUE above the Blvd with SPECTACULAR VIEWS!! Stunning custom contemporary view home situated on one of the premier streets in Los Feliz. An architectural gem whi,316006255,ITECH,2488000,"[u'bedrooms', u'bathrooms']",2806 Glendower Avenue
"[u'Built-In BBQ', u'Built-Ins', u'RangeOven']",,,5,2016-07-06 00:00:00,"NEWLY PRICED TO SELL! Iconic Malibu living abounds in this architectural oasis atop a generous 4.25 acres within the exclusive Serra Retreat. Recently updated by a celebrated designer, the home offers",16136820,CLAW,17500000,"[u'bedrooms', u'bathrooms']",3464 SWEETWATER MESA RD
"[u'Built-In BBQ', u'Built-Ins', u'Range Hood', u'Microwave', u'RangeOven']",,,5,2016-07-06 00:00:00,"Designed by renowned architect Walter Scott Perry in the classic modern Bauhaus tradition, this newly remodeled, 5 bedroom & 6 bathroom contemporary home is sited on a serene, half-acre knoll in Bel A",16141262,CLAW,34999,"[u'bedrooms', u'bathrooms']",1116 LINDA FLORA DR
[u'Built-In BBQ'],,,3,2016-07-11 00:00:00,"An hour outside of Los Angles with country and ocean views of Ojai sits Flying D Ranch. The ultimate ranch - surrounded by a seasonal creek and expansive terrain. Consisting of 1,281 acres and 7 parce",16142180,CLAW,20000000,"[u'bedrooms', u'bathrooms']",2317 Dickenson RD
[u'RangeOven'],,,3,2016-07-15 00:00:00,"Tranquility awaits at this 1935 Traditional hillside retreat in the coveted Los Feliz Oaks. Tucked away in a quiet cul-de-sac, this home boasts a dramatic living room with beamed ceilings, a decorativ",16133142,CLAW,1699000,"[u'bedrooms', u'bathrooms']",1970 N GRAMERCY PL
"[u'Built-Ins', u'Oven', u'RangeOven']",,,6,2016-07-15 00:00:00,"Mid Century 1970's iconic Charles Wong designed South Pasadena home, filled with original character and charm, situated on a corner lot atop of Via del Rey, overlooking Pasadena, the Rose Bowl and a g",316006132,ITECH,1988000,"[u'bedrooms', u'bathrooms']",1401 Via Del Rey
"[u'Built-Ins', u'Range Hood', u'Microwave', u'RangeOven']",,,6,2016-07-18 00:00:00,"CENT'ANNI Estate is an alluring 20 acre property amidst the picturesque countryside of Santa Ynez in the secluded, idyllic setting of Los Olivos. This is a once in a lifetime opportunity to acquire a ",16144050,CLAW,5495000,"[u'bedrooms', u'bathrooms']",2600 Canada Este RD
[u'Built-In Gas'],,,3,2016-07-21 00:00:00,"MOTIVATED SELLER! BRING US AN OFFER!! Perfectly situated between the Wilshire Country Club and the Los Angeles Tennis Club, come see this charming Spanish 3-bedroom house with central air and incredib",16142204,CLAW,1399000,"[u'bedrooms', u'bathrooms']",514 LILLIAN WAY
[],,,7,2016-07-21 00:00:00,"Incredible opportunity to own this classic French Revival sitting on over 11,000 square feet of beach front land right in the middle of Santa Monica's famed Gold Coast. With 59 feet of beachfront, it ",16145020,CLAW,10500000,"[u'bedrooms', u'bathrooms']",602 PALISADES BEACH RD
[],,,2,2016-07-22 00:00:00,"Amazing investor opportunity in hot, hot Highland Park. This is a Probate sale that requires court confirmation. Cash buyers only. Executor asks that you do not walk on property. No open houses, no sh",16146358,CLAW,468300,"[u'bedrooms', u'bathrooms']",4906 MENDOTA AVE
"[u'Built-In BBQ', u'Range Hood', u'Microwave', u'RangeOven']",,,6,2016-07-29 00:00:00,"Perched atop a secluded promontory, this inspired contemporary compound is located within the exclusive gated community of Medea Valley Estates, optimally positioned between Malibu and Agoura Hills. O",16148546,CLAW,2688000,"[u'bedrooms', u'bathrooms']",29220 WAGON RD
[],,,4,2016-07-29 00:00:00,Quintessential Cape Cod style home located in a prime area of La Canada Flintridge. Fantastic family floor plan with sunlight-filled rooms throughout which flow seamlessly to an inviting veranda and e,316007195,ITECH,1848000,"[u'bedrooms', u'bathrooms']",5215 Vista Miguel Drive
[u'Built-In Gas'],,,4,2016-08-03 00:00:00,"Special two-story Spanish Colonial Revival featuring Andalusian architectural details. Separate single-story wing dedicated to large living room with vaulted ceiling supported by trussed wooden beams,",316007323,ITECH,1450000,"[u'bedrooms', u'bathrooms']",470 South Santa Anita Avenue
"[u'Range Hood', u'Microwave']",,,3,2016-08-05 00:00:00,"This sleek and sexy beach house is located on a private guard-gated lane in the center of Malibu. Upon entry, the home immediately introduces you to the Pacific Ocean with a two story entry, walls of ",16150318,CLAW,20000,"[u'bedrooms', u'bathrooms']",27112 MALIBU COVE COLONY DR
"[u'Built-Ins', u'Microwave', u'RangeOven']",,,4,2016-08-05 00:00:00,"Spectacular Contemporary with dramatic and architectural details. Exquisitely updated with fine attention to detail. Ocean view from most rooms, yard and decks. Gorgeous living/media room with bar are",16150758,CLAW,10815,"[u'bedrooms', u'bathrooms']",181 SURFVIEW DR
[],,,6,2016-08-09 00:00:00,Beautiful architectural home with stunning 180 degree views from downtown to the ocean. This 6 bedroom 4.5 bath is tucked behind the highly desirable gates of the exclusive Laughlin Park Community. Th,16150280,CLAW,5540000,"[u'bedrooms', u'bathrooms']",1961 DE MILLE DR
[u'RangeOven'],,,1,2016-08-10 00:00:00,"This charming, fully furnished 1 bedroom, 1 bath cottage sits on the grounds originally developed in the 1930's known as The Malibu Lodge. Truly a special property, across the street from Las Tunas St",16151674,CLAW,3500,"[u'bedrooms', u'bathrooms']",19355 PACIFIC COAST HWY
"[u'Built-In BBQ', u'Built-Ins', u'Range Hood', u'Microwave', u'RangeOven', u'Convection Oven', u'Cooktop - Gas', u'Double Oven', u'Gas', u'Oven-Gas']",,,7,2016-08-11 00:00:00,"Designed by noted architect Gus Duffy and situated on approx 3/4's of an acre, this resort like estate defines the meaning of ""compound"". The Casa: Is a single story 4+3.5 home, beautiful in rich wood",16151208,CLAW,3495000,"[u'bedrooms', u'bathrooms']",4960 VANALDEN AVE
[u'Built-Ins'],,,1,2016-08-15 00:00:00,"Hollywood Versailles Towers at it's best! Come see this hip, designer perfect condo in the fabulous, full-service building on Hollywood Boulevard! Bring your toothbrush and move in! This condo has a f",16153228,CLAW,650000,"[u'bedrooms', u'bathrooms']",7135 HOLLYWOOD
"[u'Built-In Electric', u'Microwave']",,,3,2016-08-15 11:31:13,"Quaint Sierra Madre Traditional corner lot home on cul-de-sac street. Wonderful open and bright floor plan with 3 bedrooms, 2 bathrooms, and spacious family room that opens to the back yard. This home",316007701,ITECH,879000,"[u'bedrooms', u'bathrooms']",82 Monterey Lane
[u'Gas'],,,5,2016-08-19 00:00:00,"Beautifully remodeled five bedroom, three bath home located south of the Blvd. This home exemplifies an ideal open floorplan, soaring ceilings & an abundance of natural light. Features include a cooks",316007842,ITECH,799000,"[u'bedrooms', u'bathrooms']",21552 Yucatan Avenue
[u'RangeOven'],,,3,2016-08-19 00:00:00,"Located in one of Malibu's most desirable beachside neighborhoods, Malibu Park, this modern single-story home is styled with tranquil, Zen elements throughout. Close proximity to Zuma Beach, schools, ",16154966,CLAW,2288000,"[u'bedrooms', u'bathrooms']",6410 SURFSIDE WAY
"[u'Range Hood', u'RangeOven']",,,3,2016-08-22 00:00:00,"Stunning Contemporary in Beverly Glen. Centrally located near Bel Air, Beverly Hills, Westwood, and Century City. The home has been tastefully updated with top quality finishes. Features hardwood floo",16155592,CLAW,5700,"[u'bedrooms', u'bathrooms']",1100 N BEVERLY GLEN
"[u'Built-In BBQ', u'Built-Ins', u'Range Hood', u'RangeOven']",,,4,2016-08-22 00:00:00,"Gorgeous home with view of Calabasas golf course, Located in the sought after Las Virgenes School District. Nice and bright with an impressive entryway with skylights that opens into the living room o",16155556,CLAW,1719500,"[u'bedrooms', u'bathrooms']",24014 PARK CASINO
[u'RangeOven'],,,5,2016-08-22 00:00:00,"Just 35 miles outside of Los Angeles, Agua Dulce Winery is a breathtaking 90-acre property affording oenophiles the rarity of owning a countryside estate featuring a spacious 5-bedroom residence and t",16154748,CLAW,12800000,"[u'bedrooms', u'bathrooms']",9640 SIERRA HWY
[],,,3,2016-08-24 00:00:00,"Peace, calm and quiet in the hills of La Crescenta, this Traditional-Contemporary home offers what you've been waiting for. Within the last two years this three bedroom,/two bathroom home has been ext",316007976,ITECH,850000,"[u'bedrooms', u'bathrooms']",3138 Cloudcrest Road
[u'RangeOven'],,,3,2016-08-26 00:00:00,"AMAZING OPPORTUNITY IN VENICE! Charming beach cottage with 3 bedrooms and one bathroom in main house. Hardwood floors, light and bright, spacious bathroom and laundry inside. Legal back studio with st",16156574,CLAW,1450000,"[u'bedrooms', u'bathrooms']",1016 OAKWOOD AVE
"[u'Built-In BBQ', u'Built-Ins', u'Range Hood', u'Microwave', u'RangeOven', u'Cooktop - Gas', u'Double Oven']",,,7,2016-08-29 00:00:00,"Perched atop the coveted Huntington area of the Pacific Palisades, this oceanside manor is nothing short of presidential - a rare composition of remarkable stonework flush with ivy and backlit by the ",16157428,CLAW,20000000,"[u'bedrooms', u'bathrooms']",200 TOYOPA DR
[],,,4,2016-08-30 00:00:00,"Modern Ranch Beach Bungalow in Sycamore Park. Located in idyllic Sycamore Park, steps from Escondido Beach, this light, airy, open home features vaulted whitewashed ceilings, hardwood floors, elegant ",16154856,CLAW,10500,"[u'bedrooms', u'bathrooms']",6420 SYCAMORE MEADOWS DR
"[u'Built-In BBQ', u'Built-Ins', u'RangeOven']",,,5,2016-08-30 00:00:00,"68 yrs ago the owners picked this spot overlooking the now famous Billionaires' Beach in Malibu. This pastoral sanctuary, approx. 2.8 acres, has panoramic Ocean Views from Santa Monica's shoreline to ",16157850,CLAW,2995000,"[u'bedrooms', u'bathrooms']",22042 CARBON MESA RD
[],,,4,2016-08-31 00:00:00,"Modern Ranch Beach Bungalow in idyllic Sycamore Park. Just steps from Escondido Beach, this light, airy, open home features vaulted whitewashed ceilings, hardwood floors, elegant lines & sophisticated",16158240,CLAW,3169000,"[u'bedrooms', u'bathrooms']",6420 SYCAMORE MEADOWS DR
"[u'Microwave', u'RangeOven']",,,2,2016-09-02 00:00:00,"Prime Wilshire corridor location! Secure building with a 24 hr. doorman. Light and bright luxury unit, the best bargain on the Wilshire corridor. 2 bdrm/ 2 bath updated condo with plantation shutters ",16158874,CLAW,720000,"[u'bedrooms', u'bathrooms']",10747 WILSHIRE
[],,,5,2016-09-02 00:00:00,"The Prairie style architecture of this magnificent home, with its broad eaves, pergola covered porte-cochere and expansive front porch, welcome you home to the tree-shaded parkways and expansive lawns",316006757,ITECH,1898000,"[u'bedrooms', u'bathrooms']",764 Michigan Boulevard
"[u'Built-In BBQ', u'Built-Ins', u'Microwave', u'RangeOven']",,,8,2016-09-02 00:00:00,Shadow Mountain is an enclave of 46 wonderful estates that enjoy 24 hour live-gated security just minutes from all that Pacific Palisades has to offer. This spectacular property was conceived and cust,16157766,CLAW,10620000,"[u'bedrooms', u'bathrooms']",16242 SHADOW MOUNTAIN DR
"[u'Built-Ins', u'Range Hood', u'Microwave', u'RangeOven', u'Built-In Gas', u'Cooktop - Gas']",,,7,2016-09-06 00:00:00,"Located on one of Bel Air's most coveted streets, this superb property provides an escape from city life to a sanctuary of treetop vistas and glorious views of the Getty Museum and Catalina Island on ",16159656,CLAW,2400000,"[u'bedrooms', u'bathrooms']",11647 BELLAGIO RD
"[u'Built-Ins', u'Microwave']",,,3,2016-09-06 00:00:00,"Tropical Traditional on the Famed Mar Vista Wood Streets. A gated, grassy front yard welcomes you to 3 bed 2.5 bath home with a large office. Enjoy an updated kitchen with an oversized granite peninsu",16158556,CLAW,1299000,"[u'bedrooms', u'bathrooms']",3464 GREENWOOD AVE
"[u'Oven', u'RangeOven']",,,3,2016-09-06 00:00:00,"Located in the prestigious Linda Vista neighborhood of Pasadena, this adorable home welcomes you with a beautifully landscaped front yard and charming porch. Cozy living room with fireplace, wood beam",316007560,ITECH,1088000,"[u'bedrooms', u'bathrooms']",1406 Wellington Avenue
"[u'Free Standing Gas', u'Oven-Gas']",,,6,2016-09-06 00:00:00,House Re-Imagined! It is incredible what can be done for $50K. Come and see the transformation. Canopies of Oaks shelter this one-of-a-kind Rustic Craftsman residence that rests on the banks of Eaton ,316008372,ITECH,1790000,"[u'bedrooms', u'bathrooms']",2388 North Altadena Drive
"[u'Built-Ins', u'RangeOven']",,,5,2016-09-08 00:00:00,"New Construction in the heart of Brentwood. This ""East Coast Beach Cottage"" influenced 5 bedroom, 5 bath home has a flexible open floorplan and works well for daily living and entertaining. The formal",16159808,CLAW,3995000,"[u'bedrooms', u'bathrooms']",316 N SKYEWIAY RD
"[u'Built-In BBQ', u'Built-Ins', u'Range Hood', u'RangeOven']",,,5,2016-09-08 00:00:00,"Thoughtfully placed on an idyllic Brentwood cul-de-sac, this newly constructed California Modern was beautifully conceived by Marmol Radziner to blend effortlessly into the hillside topography by way ",16160314,CLAW,5498000,"[u'bedrooms', u'bathrooms']",868 LEONARD RD
[u'Built-In Gas'],,,3,2016-09-09 00:00:00,"Designed by noted Architect, Steven Hill, this stunning example of contemporary modernism is bound to impress you. Perched on an expansive ridge in Silverlake Heights, this 2,100 Sf contemporary home ",316008538,ITECH,1349000,"[u'bedrooms', u'bathrooms']",2329 Lake View Avenue
[],,,0,2016-09-09 00:00:00,"This upslope lot in the desirable La Costa area of Malibu is located less than a minute off of PCH and is in close proximity to shopping, schools, and Santa Monica. Enjoy panoramic ocean and whitewate",16161032,CLAW,450000,[],21425 Rambla Vista
"[u'Built-Ins', u'Range Hood', u'Microwave', u'RangeOven']",,,4,2016-09-09 00:00:00,"An architectural wonder designed by renowned architect David Kellen, a student of Frank Israel and colleague of Frank Gehry, this neo-modern ranch is perched atop the rolling hills of Pacific Palisade",16160058,CLAW,2895000,"[u'bedrooms', u'bathrooms']",545 CATALONIA AVE
[],,,4,2016-09-10 00:00:00,"4 bedroom + 3.5 bathrooms, 3162 sqft home with pool on a 12,219 sqft lot. Cul-de-sac location, convenient to Sunset Strip, Hollywood and West Hollywood. Spacious Modern Spanish home with city views an",16161068,CLAW,7900,"[u'bedrooms', u'bathrooms']",7931 ZEUS DR
"[u'Microwave', u'RangeOven']",,,6,2016-09-14 00:00:00,"Extraordinary view home located in the award-winning South Pasadena School district. Located minutes to Downtown LA, USC and Caltech. This home showcases stunning views of downtown, mountains & trees.",16161388,CLAW,2588000,"[u'bedrooms', u'bathrooms']",1900 PETERSON AVE
[u'RangeOven'],,,3,2016-09-14 00:00:00,"Unit #1 is ""Pending"". Just one ocean view townhouse remains available for sale! Coastal contemporary brand new construction- a true labor of love! Direct ocean views from this sleek architectural 3 be",16162540,CLAW,3488000,"[u'bedrooms', u'bathrooms']",1012 2ND ST
"[u'Range Hood', u'RangeOven']",,,3,2016-09-14 00:00:00,"Unit #1 is ""Pending"". Just one ocean view townhouse remains available for sale! Architecturally significant turn-of-the-century Victorian cottage meticulously restored and transformed into a modern ma",16162570,CLAW,2895000,"[u'bedrooms', u'bathrooms']",1012 2ND ST
"[u'Built-Ins', u'Range Hood', u'RangeOven']",,,5,2016-09-15 00:00:00,This impressive modern construction sets the standard in this highly desirable Westwood location. Ideally located in close proximity to the best of what the Westside has to offer. 5 bd 5.5 ba & an ope,16162304,CLAW,3248000,"[u'bedrooms', u'bathrooms']",10501 EASTBORNE AVE
"[u'Built-Ins', u'RangeOven']",,,1,2016-09-15 00:00:00,"Remodeled, spacious and light 1 bedroom and 1 bathroom condo in the coveted West Hollywood complex. Villa Las Brisas. Large open living room and dining area with private balcony. Remodeled eat-in-kitc",16162696,CLAW,499000,"[u'bedrooms', u'bathrooms']",1203 N SWEETZER AVE
"[u'Built-In BBQ', u'Microwave', u'RangeOven']",,,5,2016-09-15 00:00:00,"Classic Mediterranean Spanish home designed by J. Charles. Built in 1998 on a 50x152 lot with a guest room above garage. Perfect floor plan- appx 4600sqft with step down living rm, high beamed ceiling",16163034,CLAW,4695000,"[u'bedrooms', u'bathrooms']",215 21ST PL
"[u'Range Hood', u'Microwave', u'RangeOven', u'Oven']",,,4,2016-09-16 00:00:00,"Located on a peaceful cul-de-sac in the lovely equestrian community of Shadow Hills, this extensively updated modern ranch home is the perfect turnkey opportunity. Upon entering this home, you are gre",16161666,CLAW,969000,"[u'bedrooms', u'bathrooms']",10700 ARTRUDE ST
"[u'Built-Ins', u'Microwave', u'RangeOven']",,,3,2016-09-16 00:00:00,"Meticulously remodeled Carbon Beach jewel. This 3 bedroom, 2 bath home with gated entry and beautiful courtyard leads you to the best location on the beach! Relax and unwind in your private hot tub on",16163266,CLAW,10950000,"[u'bedrooms', u'bathrooms']",21844 PACIFIC COAST HWY
[],,,3,2016-09-19 00:00:00,"Charming hilltop home! Built in 1941, this 3 bedroom 2 bathroom traditional 2 level home has been meticulously maintained by the current owners for the past 25 years and is described as having good bo",316008853,ITECH,899000,"[u'bedrooms', u'bathrooms']",1990 Hilldale Drive
[],,,0,2016-09-20 00:00:00,"Located in the S Echo Park / Westlake neighborhood, this double lot offers the opportunity to raise 40 residential units over 2 levels of daylight subterranean, with access off both Colton and Douglas",16163996,CLAW,2599000,[],1363 COLTON ST
"[u'Built-In BBQ', u'Built-Ins', u'Range Hood', u'Microwave', u'RangeOven']",,,4,2016-09-21 00:00:00,"A harmonious union between architecture and nature, this Spanish Villa is set on a half-acre of beautiful land in the desirable Palisades. Originally built in 1923, the home remains true to its Spanis",16164412,CLAW,6495000,"[u'bedrooms', u'bathrooms']",1310 NAPOLI DR
"[u'Built-In BBQ', u'Built-Ins', u'Microwave', u'RangeOven']",,,5,2016-09-21 00:00:00,"Oceanfront vistas await at The Spanish Estate, an incomparable residential retreat perched on a private bluff top in Malibu's exclusive Marisol community. Masterfully designed by award-winning archite",16164100,CLAW,16550000,"[u'bedrooms', u'bathrooms']",11768 ELLICE ST
"[u'Microwave', u'RangeOven']",,,0,2016-09-22 00:00:00,NOW OFFERING MOVE IN SPECIALS! This is the last TOP FLOOR CORNER unit! Welcome to The Lofts On La Brea. The newest luxury community. This large studio is perfect for the entertainer that wants the hig,16164760,CLAW,3075,[u'bathrooms'],1616 N LA BREA AVE
"[u'Range Hood', u'RangeOven']",,,2,2016-09-22 00:00:00,"Fantastic location! Flexible lease terms- Landlord will consider short, or long term. Just 2 blocks to Montana Avenue shops, cafes and restaurants! Franklin School District! Updated townhouse with 2bd",16164788,CLAW,6475,"[u'bedrooms', u'bathrooms']",928 19TH ST
"[u'RangeOven', u'Microwave', u'Oven']",,,2,2016-09-22 00:00:00,Welcome to WEHO! West Hollywood HARD TO FIND pet friendly 2bd/1bath + bungalow. This very bright and charming bungalow is the main house of a detached duplex. Enjoy the serine front yard with privacy ,16163826,CLAW,3500,"[u'bedrooms', u'bathrooms']",1301 SEWARD ST
"[u'Range Hood', u'RangeOven']",,,3,2016-09-22 00:00:00,Charming 1920s farmhouse on the border of Mar Vista and Venice. This home was originally built in 1925 in La Canada and was moved to the current address in the 1960s. It exudes a vintage ranch-style c,16165062,CLAW,1235000,"[u'bedrooms', u'bathrooms']",2445 WALGROVE AVE
"[u'Free Standing Gas', u'Microwave', u'Range Hood']",,,3,2016-09-25 00:00:00,"Architectural excellence and modern finishes combine seamlessly in this luxurious single level rear unit. Built in 2007, the complex boasts idyllic qualities like lush foliage and curved paver-lined p",316009006,ITECH,728000,"[u'bedrooms', u'bathrooms']",2454 Oswego Street #201
[],,,0,2016-09-26 00:00:00,Smashing ocean views from 91 acres in the beautiful Santa Monica Mountains overlooking Malibu and Point Dume. This offering consists of seven contiguous ocean view lots only 2 1/2 miles from Pacific C,16165528,CLAW,3250000,[],0 Ramera Mountainway
[],,,0,2016-09-26 00:00:00,"Amazing land offering of almost six acres within 1/2 mile of Pacific Coast Highway. Surrounded by multi-million dollar homes, the property is one of the few left that are able to accommodate multiple ",16165532,CLAW,2500000,[],6041 KANAN DUME RD
